product_id,headline,summary,priority_hint
1000000064,2색 이티 운영 요약,"상품 기준 프로필은 첫구매 유도이며, 기준일 관측 상태는 첫구매 유도입니다. 별도 전환 상대 없음으로, 동일 상품 중심 반복 선택이 보입니다.","왜: 프로필과 기준일 관측 상태가 같은 방향인지 확인해야 운영 신호를 과해석하지 않습니다. 근거: 기준일 매출 600,500원, 직전 7일 누적 4,489,500원. 다음 확인: 매출 흐름과 동일 상품 내 반복 신호를 같이 보세요."
1000000094,매화 3송이 1호 운영 요약,"상품 기준 프로필은 단골 유도이며, 기준일 관측 상태는 단골 유도입니다. 별도 전환 상대 없음으로, 동일 상품 중심 반복 선택이 보입니다.","왜: 프로필과 기준일 관측 상태가 같은 방향인지 확인해야 운영 신호를 과해석하지 않습니다. 근거: 기준일 매출 390,000원, 직전 7일 누적 901,200원. 다음 확인: 매출 흐름과 동일 상품 내 반복 신호를 같이 보세요."
1000000088,백리향 2단 (1호 2호) 운영 요약,"상품 기준 프로필은 단골 유도이며, 기준일 관측 상태는 단골 유도입니다. 별도 전환 상대 없음으로, 동일 상품 중심 반복 선택이 보입니다.","왜: 프로필과 기준일 관측 상태가 같은 방향인지 확인해야 운영 신호를 과해석하지 않습니다. 근거: 기준일 매출 270,000원, 직전 7일 누적 672,000원. 다음 확인: 매출 흐름과 동일 상품 내 반복 신호를 같이 보세요."
1000000093,매화 2송이 1호 운영 요약,"상품 기준 프로필은 첫구매 유도이며, 기준일 관측 상태는 첫구매 유도입니다. 별도 전환 상대 없음으로, 동일 상품 중심 반복 선택이 보입니다.","왜: 프로필과 기준일 관측 상태가 같은 방향인지 확인해야 운영 신호를 과해석하지 않습니다. 근거: 기준일 매출 264,600원, 직전 7일 누적 3,913,900원. 다음 확인: 매출 흐름과 동일 상품 내 반복 신호를 같이 보세요."
1000000044,고구마찰떡 운영 요약,"상품 기준 프로필은 반복 구매이며, 기준일 관측 상태는 반복 구매입니다.","왜: 프로필과 기준일 관측 상태가 같은 방향인지 확인해야 운영 신호를 과해석하지 않습니다. 근거: 기준일 매출 199,000원, 직전 7일 누적 772,000원. 다음 확인: 매출 흐름과 전환/복귀 신호를 같이 보세요."
1000000063,쑥이티 운영 요약,"상품 기준 프로필은 반복 구매이며, 기준일 관측 상태는 반복 구매입니다.","왜: 프로필과 기준일 관측 상태가 같은 방향인지 확인해야 운영 신호를 과해석하지 않습니다. 근거: 기준일 매출 181,500원, 직전 7일 누적 518,000원. 다음 확인: 매출 흐름과 전환/복귀 신호를 같이 보세요."
1000000113,매화 5송이 3호 운영 요약,"상품 기준 프로필은 프로필 정보 없음이며, 기준일 관측 상태는 관측 상태 없음입니다. 기준일 당일 스냅샷만 사용하므로 다른 날짜 상태로 보정하지 않았습니다. 별도 전환 상대 없음으로, 동일 상품 중심 반복 선택이 보입니다.","왜: 프로필은 있어도 기준일 관측 상태가 비면 최근 확정일 해석을 확정하기 어렵습니다. 근거: 기준일 당일 스냅샷이 없어 관측 상태 없음으로 유지했고 최신 역할로 보정하지 않았습니다. 다음 확인: 관측 누락 여부, 기준일 매출, 동일 상품 내 반복 신호를 순서대로 확인하세요."
1000000087,백리향 1단 (1호 2호 3호) 운영 요약,"상품 기준 프로필은 구매 집중이며, 기준일 관측 상태는 구매 집중입니다. 별도 전환 상대 없음으로, 동일 상품 중심 반복 선택이 보입니다.","왜: 프로필과 기준일 관측 상태가 같은 방향인지 확인해야 운영 신호를 과해석하지 않습니다. 근거: 기준일 매출 133,000원, 직전 7일 누적 1,038,000원. 다음 확인: 매출 흐름과 동일 상품 내 반복 신호를 같이 보세요."
1000000112,매화 5송이 2호 운영 요약,"상품 기준 프로필은 프로필 정보 없음이며, 기준일 관측 상태는 관측 상태 없음입니다. 기준일 당일 스냅샷만 사용하므로 다른 날짜 상태로 보정하지 않았습니다.","왜: 프로필은 있어도 기준일 관측 상태가 비면 최근 확정일 해석을 확정하기 어렵습니다. 근거: 기준일 당일 스냅샷이 없어 관측 상태 없음으로 유지했고 최신 역할로 보정하지 않았습니다. 다음 확인: 관측 누락 여부, 기준일 매출, 연결 상품 흐름을 순서대로 확인하세요."
1000000085,십리향 2단 (1호 2호 3호) 운영 요약,"상품 기준 프로필은 단골 유도이며, 기준일 관측 상태는 단골 유도입니다.","왜: 프로필과 기준일 관측 상태가 같은 방향인지 확인해야 운영 신호를 과해석하지 않습니다. 근거: 기준일 매출 117,500원, 직전 7일 누적 879,000원. 다음 확인: 매출 흐름과 전환/복귀 신호를 같이 보세요."
1000000045,완두시루떡 운영 요약,"상품 기준 프로필은 반복 구매이며, 기준일 관측 상태는 반복 구매입니다.","왜: 프로필과 기준일 관측 상태가 같은 방향인지 확인해야 운영 신호를 과해석하지 않습니다. 근거: 기준일 매출 99,000원, 직전 7일 누적 399,000원. 다음 확인: 매출 흐름과 전환/복귀 신호를 같이 보세요."
1000000086,십리향 3단 운영 요약,"상품 기준 프로필은 단골 유도이며, 기준일 관측 상태는 단골 유도입니다. 별도 전환 상대 없음으로, 동일 상품 중심 반복 선택이 보입니다.","왜: 프로필과 기준일 관측 상태가 같은 방향인지 확인해야 운영 신호를 과해석하지 않습니다. 근거: 기준일 매출 87,000원, 직전 7일 누적 341,000원. 다음 확인: 매출 흐름과 동일 상품 내 반복 신호를 같이 보세요."
1000000033,가래떡 운영 요약,"상품 기준 프로필은 프로필 정보 없음이며, 기준일 관측 상태는 관측 상태 없음입니다. 기준일 당일 스냅샷만 사용하므로 다른 날짜 상태로 보정하지 않았습니다.","왜: 프로필은 있어도 기준일 관측 상태가 비면 최근 확정일 해석을 확정하기 어렵습니다. 근거: 기준일 당일 스냅샷이 없어 관측 상태 없음으로 유지했고 최신 역할로 보정하지 않았습니다. 다음 확인: 관측 누락 여부, 기준일 매출, 연결 상품 흐름을 순서대로 확인하세요."
